"observation","communityid","facebook","twitter","members","ideas","comments","votes","age"
"0","82","36","5","173","107","183","1891","532"
"0","88","12","40","190","93","291","465","266"
"0","101","61","5","183","90","78","484","370"
"0","114","9","37","211","76","113","146","1096"
"0","132","0","1","10","73","44","46","323"
"0","138","69","8","101","73","18","269","780"
"0","140","14","15","92","65","9","353","177"
"0","147","118","13","90","53","202","670","125"
"0","155","113","0","59","51","56","198","408"
"0","178","0","0","21","46","68","254","28"
"0","203","0","0","54","39","57","250","588"
"0","209","40","0","50","47","49","317","185"
"0","221","46","4","65","36","54","301","657"
"0","233","42","47","124","34","29","293","51"
"0","246","41","3","27","31","133","169","50"
"0","277","49","0","54","28","13","316","184"
"0","287","33","21","34","28","37","179","435"
"0","325","20","0","15","25","101","160","561"
"0","327","0","0","22","23","16","130","37"
"0","345","8","2","19","21","5","97","51"
"0","347","31","34","95","21","19","218","34"
"0","394","59","36","69","105","36","522","25"
"0","401","28","25","74","24","32","275","137"
"0","411","0","0","59","31","44","170","20"
"0","426","96","13","56","36","50","332","58"
"0","457","11","1","155","75","311","2111","569"
"0","465","112","32","139","26","38","283","244"
"0","476","7","1","68","30","90","93","225"
"1","82","36","5","173","107","183","1891","537"
"1","88","12","40","190","93","291","465","271"
"1","101","61","5","183","90","78","484","375"
"1","114","9","37","211","68","113","146","1101"
"1","132","0","1","10","73","44","46","328"
"1","138","69","8","101","73","18","269","785"
"1","140","14","15","92","65","9","353","182"
"1","147","118","13","90","53","202","670","130"
"1","155","113","0","59","51","56","198","413"
"1","178","0","0","21","46","68","254","33"
"1","203","0","0","54","39","57","250","593"
"1","209","40","0","50","47","49","317","190"
"1","221","46","4","65","36","54","301","662"
"1","233","42","47","124","34","29","293","56"
"1","246","41","3","27","31","133","169","55"
"1","277","49","0","54","28","13","316","189"
"1","287","33","21","34","28","37","179","440"
"1","325","20","0","15","25","101","160","566"
"1","327","0","0","22","23","16","130","42"
"1","345","8","2","19","21","5","97","56"
"1","347","31","34","95","21","19","218","39"
"1","394","60","36","71","106","37","531","30"
"1","401","28","25","74","24","32","275","142"
"1","411","0","0","59","31","44","170","25"
"1","426","96","13","56","36","50","340","63"
"1","457","11","1","155","75","311","2111","574"
"1","465","112","32","139","26","38","283","249"
"1","476","7","1","68","30","90","93","230"
"2","82","36","5","173","107","183","1891","542"
"2","88","14","40","193","93","292","465","276"
"2","101","61","5","183","90","78","484","380"
"2","114","9","37","211","68","113","146","1106"
"2","132","0","1","11","74","45","48","333"
"2","138","69","8","101","74","18","269","790"
"2","140","14","15","92","65","9","353","187"
"2","147","118","13","90","53","202","670","135"
"2","155","113","0","59","51","56","198","418"
"2","178","0","0","21","46","68","254","38"
"2","203","0","0","54","39","57","250","598"
"2","209","40","0","50","47","49","317","195"
"2","221","46","4","65","36","54","301","667"
"2","233","42","47","124","34","29","293","61"
"2","246","41","3","27","31","133","169","60"
"2","277","49","0","54","28","13","316","194"
"2","287","33","21","34","28","37","179","445"
"2","325","20","0","15","25","101","160","571"
"2","327","0","0","22","23","16","130","47"
"2","345","8","2","19","21","5","97","61"
"2","347","31","34","95","21","19","218","44"
"2","394","61","36","81","122","41","643","35"
"2","401","28","25","74","24","32","275","147"
"2","411","0","0","60","31","48","183","30"
"2","426","96","13","59","38","54","375","68"
"2","457","11","1","155","75","311","2111","579"
"2","465","112","32","139","26","38","283","254"
"2","476","7","2","71","32","95","93","235"
"3","82","36","5","173","107","183","1891","547"
"3","88","14","40","194","93","292","465","281"
"3","101","61","5","183","90","78","484","385"
"3","114","9","37","211","68","113","146","1111"
"3","132","0","1","11","74","45","48","338"
"3","138","69","8","101","74","18","269","795"
"3","140","14","15","92","65","9","353","192"
"3","147","118","13","90","53","202","670","140"
"3","155","113","0","59","51","56","198","423"
"3","178","0","0","21","46","68","254","43"
"3","203","0","0","54","39","57","250","603"
"3","209","40","0","50","47","49","317","200"
"3","221","46","4","65","36","54","301","672"
"3","233","42","47","124","34","29","293","66"
"3","246","41","3","27","31","133","169","65"
"3","277","49","0","54","28","13","316","199"
"3","287","33","21","34","28","37","179","450"
"3","325","20","0","15","25","101","160","576"
"3","327","0","0","22","23","16","130","52"
"3","345","8","2","19","21","5","97","66"
"3","347","31","34","95","21","19","218","49"
"3","394","61","36","81","128","41","706","40"
"3","401","28","25","75","24","32","276","152"
"3","411","0","0","60","31","48","183","35"
"3","426","96","13","59","38","54","375","73"
"3","457","11","1","155","75","311","2111","584"
"3","465","112","32","139","26","38","283","259"
"3","476","7","3","71","33","95","93","240"
"4","82","36","5","173","107","183","1891","552"
"4","88","14","40","194","93","292","465","286"
"4","101","61","5","183","90","78","484","390"
"4","114","9","37","211","68","113","146","1116"
"4","132","0","1","11","74","45","48","343"
"4","138","69","8","101","74","18","270","800"
"4","140","14","15","92","65","9","353","197"
"4","147","118","13","90","53","202","670","145"
"4","155","113","0","59","51","56","198","428"
"4","178","0","0","21","46","68","254","48"
"4","203","0","0","54","39","57","250","608"
"4","209","40","0","50","47","49","317","205"
"4","221","46","4","65","36","54","301","677"
"4","233","42","47","124","34","29","293","71"
"4","246","41","3","27","31","133","169","70"
"4","277","49","0","54","28","13","316","204"
"4","287","33","21","34","28","37","179","455"
"4","325","20","0","15","25","101","160","581"
"4","327","0","0","22","23","16","130","57"
"4","345","8","2","19","21","5","97","71"
"4","347","31","34","95","21","19","218","54"
"4","394","61","36","84","128","48","744","45"
"4","401","28","25","75","24","32","276","157"
"4","411","0","0","60","31","48","183","40"
"4","426","96","13","60","38","54","380","78"
"4","457","11","1","155","75","311","2111","589"
"4","465","112","32","139","26","38","283","264"
"4","476","7","3","71","33","97","93","245"
"5","82","36","5","173","107","183","1891","557"
"5","88","14","40","195","93","294","467","291"
"5","101","61","5","183","90","78","484","395"
"5","114","9","37","211","68","113","146","1121"
"5","132","0","1","11","74","45","48","348"
"5","138","69","8","101","74","18","270","805"
"5","140","14","15","92","71","9","353","202"
"5","147","118","13","90","53","202","670","150"
"5","155","113","0","59","51","56","198","433"
"5","178","0","0","21","46","68","254","53"
"5","203","0","0","54","39","57","250","613"
"5","209","40","0","50","47","49","317","210"
"5","221","46","4","65","36","54","301","682"
"5","233","42","47","124","34","29","293","76"
"5","246","41","3","27","31","133","169","75"
"5","277","49","0","54","28","13","316","209"
"5","287","33","21","34","28","37","179","460"
"5","325","20","0","15","25","101","160","586"
"5","327","0","0","22","23","16","130","62"
"5","345","8","2","19","21","5","97","76"
"5","347","31","34","95","21","19","218","59"
"5","394","61","36","84","128","48","744","50"
"5","401","28","25","75","24","32","276","162"
"5","411","0","0","60","31","48","183","45"
"5","426","96","13","61","38","54","380","83"
"5","457","11","1","155","75","311","2111","594"
"5","465","112","32","139","26","38","283","269"
"5","476","7","3","76","36","103","98","250"
"6","82","36","5","173","107","183","1891","562"
"6","88","14","40","195","93","294","467","296"
"6","101","61","5","183","90","78","484","400"
"6","114","9","37","211","68","113","146","1126"
"6","132","0","1","11","74","45","48","353"
"6","138","69","8","101","74","18","270","810"
"6","140","14","15","92","71","11","353","207"
"6","147","118","13","90","53","202","670","155"
"6","155","113","0","59","51","56","198","438"
"6","178","0","0","21","46","68","254","58"
"6","203","0","0","54","39","57","250","618"
"6","209","40","0","50","47","49","317","215"
"6","221","46","4","65","36","54","301","687"
"6","233","42","47","124","34","29","293","81"
"6","246","41","3","27","31","135","174","80"
"6","277","49","0","54","28","13","316","214"
"6","287","33","21","34","28","37","179","465"
"6","325","20","0","15","25","101","160","591"
"6","327","0","0","22","23","16","130","67"
"6","345","8","2","19","21","5","97","81"
"6","347","31","34","95","21","19","218","64"
"6","394","61","36","84","128","48","744","55"
"6","401","28","25","75","24","35","280","167"
"6","411","0","0","60","31","48","183","50"
"6","426","96","13","63","38","54","396","88"
"6","457","11","1","155","75","311","2111","599"
"6","465","112","32","139","26","38","283","274"
"6","476","7","3","82","37","106","102","255"
"7","82","36","5","174","107","183","1895","567"
"7","88","14","40","196","93","294","467","301"
"7","101","61","5","183","90","78","484","405"
"7","114","9","37","212","68","113","146","1131"
"7","132","0","1","11","74","45","48","358"
