"id","ideas","ideas_in_review","ideas_in_progress","ideas_implemented","members","votes","comments","moderator_comments","facebook","twitter","age","status","moderators"
"26","287","44","21","7","605","5036","816","159","129","58","829","active","1"
"28","226","0","0","0","392","2869","131","3","41","5","382","active","1"
"32","198",NULL,NULL,NULL,"348","1591","116","1","13","0","99","inactive","3"
"38","186","0","3","5","148","3182","328","0","58","2","476","active","1"
"48","218","0","0","5","979","578","549","89",NULL,NULL,"723","active",NULL
"57","212",NULL,NULL,NULL,"888","3472","769","2","330","30","305","active","4"
"60","143","0","0","0","555","1960","172","1","215","79","246","closed","1"
"64","126","0","0","0","346","1770","164","0","63","0",NULL,"closed",NULL
"74","115","2","0","2","144","1439","220","5","159","4","758","inactive","1"
"82","107","0","0","0","174","1895","183","0","36","5","532","active","1"
"88","95","0","0","0","200","469","296","2","14","40","266","active",NULL
"93","93","0","2","13","456","895","65","1",NULL,NULL,"617","active",NULL
"101","90","0","0","0","183","484","78","0","61","5","370","active","1"
"103","88","6","6","3","171","403","97","8","7","0","1399","inactive","1"
"106","123","0","5","0","420","2522","260","3",NULL,NULL,"582","active","7"
"110","75",NULL,NULL,NULL,"293","1502","159","0",NULL,NULL,"498","active","9"
"114","68",NULL,NULL,NULL,"213","146","113","6","9","37","1096","active",NULL
"116","74",NULL,NULL,NULL,"116","352","38","0",NULL,NULL,NULL,"closed",NULL
"122","68","0","0","0","200","1007","76","0","30","109","176","active","1"
"132","80","25","5","7","14","53","54","19","0","1","323","active","2"
"138","75","0","0","0","101","270","18","0","69","8","780","active",NULL
"140","78",NULL,NULL,NULL,"98","378","15","4","14","15","177","active","3"
"147","54","8","8","3","92","670","202","70","119","13","125","active","2"
"155","51","0","0","0","59","198","56","1","113","0","408","active","1"
"157","51","0","0","0","112","700","25","0","96","7","25","inactive","1"
"160","50","0","0","0","226","982","73","0","0","0","179","inactive","1"
"178","46","0","0","0","22","254","68","0","0","0","28","active","1"
"182","43","0","0","0","97","197","66","15","35","12","753","inactive","1"
"186","42","0","0","0","59","106","16","0","85","5","74","inactive","1"
"190","41","0","0","0","100","84","60","25","10","11","441","inactive","1"
"193","40","0","0","0","52","21","8","0","0","1","606","inactive","1"
"200","39","0","0","0","74","339","36","2","73","33","40","inactive","1"
"203","39","0","0","0","55","250","57","0","0","0","588","active","1"
"208","38","0","0","0","56","55","42","2","47","1","497","inactive","1"
"209","47","0","0","0","51","317","49","1","40","0","185","active","1"
"213","37","0","0","0","67","333","95","0","0","0","16","inactive","1"
"215","37","0","0","0","319","745","18","0","0","0","231","inactive","1"
"221","36","0","0","1","65","301","54","3","46","4","657","active","1"
"227","35","0","0","0","44","9","36","0","20","0","34","inactive","1"
"233","34","0","0","0","125","293","29","0","42","47","51","active","1"
"245","31","0","0","0","78","249","19","0","0","0","10","inactive","1"
"246","31","0","0","0","27","177","136","0","41","3","50","active","1"
"248","31","2","3","2","194","596","293","7","50","12","766","inactive","5"
"252","31","0","0","0","50","120","8","0","10","36","1","inactive","1"
"259","31",NULL,NULL,NULL,"64","105","39","0",NULL,NULL,"430","active",NULL
"277","28","0","0","0","55","316","13","1","49","0","184","active","1"
"286","28","0","0","0","149","95","14","0","2","0","1367","inactive","1"
"287","28","0","0","0","34","179","37","0","33","21","435","active",NULL
"292","26","0","0","0","34","61","14","0","21","11","12","inactive",NULL
"301","33","0","3","1","56","78","31","4",NULL,NULL,"317","active",NULL
"305","25","0","0","0","23","171","20","7","13","0","107","inactive","1"
"306","25","3","2","5","59","65","11","0","16","25","149","inactive","1"
"309","25","0","0","0","22","218","20","0","11","0","71","inactive","1"
"317","24","0","0","0","58","209","51","1","6","0","1022","inactive","1"
"325","25","0","1","0","15","160","101","1","20","0","561","active","1"
"327","23","0","0","0","23","130","16","0","0","0","37","active","1"
"337","22","0","0","0","36","170","15","1","42","12","454","inactive","1"
"345","21","0","0","0","20","97","5","0","8","2","51","active","1"
"347","21","0","0","0","96","218","19","0","31","34","34","active","1"
"361","1444","0","0","1","4172","30000","5770","1",NULL,NULL,"835","active",NULL
"367","52","0","3","0","972","1490","143","2","140","8","271","active","1"
"394","128","0","0","0","86","744","48","1","61","36","25","active","1"
"401","24","0","0","0","77","299","37","4","28","25","137","active","1"
"404","95","1","0","0","1423","2035","208","7","246","77","77","active","1"
"411","31",NULL,NULL,NULL,"60","183","48","7","0","0","20","active","3"
"413","20",NULL,NULL,NULL,"86","71","46","0","13","94","58","active",NULL
"414","20","12","0","0","79","31","5","0","8","2","1","closed",NULL
"426","38","0","0","0","65","407","57","8","96","13","58","active","1"
"454","368","0","0","0","320","4260","993","4","99","17","105","active","1"
"457","75",NULL,NULL,NULL,"155","2111","311","8","11","1","569","active",NULL
"458","24",NULL,NULL,NULL,"35","131","30","0","0","1","111","inactive",NULL
"459","23",NULL,NULL,NULL,"37","324","84","0","2","0","107","inactive",NULL
"460","23",NULL,NULL,NULL,"39","167","25","0","0","0","159","inactive",NULL
"465","26","0","0","0","140","283","38","0","112","32","244","active","1"
"474","126","0","0","0","346","1770","164","0","63","1",NULL,"closed",NULL
"476","50","1","5","9","112","198","180","66","9","4","225","active","9"
"479","73","17","3","7","283","591","130","31",NULL,NULL,"101","active","2"
"490","68","0","0","0","358","591","97","1",NULL,NULL,"46","active","6"
