id,name,url,type,group,purpose,owner
32,Isakson Solution Center,http://teamisakson.ideascale.com,Politician,A,proposals/action plans for US,john isakson
64,Bellevue's Best Ideas,http://bellevuesbestideas.ideascale.com,Public Institution,A,improve bellevue services and public spaces,bellevue local government
74,LibertAria Sassari Viva,http://sassariviva.ideascale.com,Civic Organization,A,improve city's services and public spaces,civic organization
82,Imagine Central Arkansas,http://imaginecentralarkansas.ideascale.com,Civic Organization,A,discuss about the future of the region,imagine central arkansas
88,Discuss the Manual of Patent Examination Procedures (MPEP),http://uspto-mpep.ideascale.com,Public Institution,A,improve the patent application process,united state patent and trademark office
101,AntiCor Tunisia Ideas,http://anticor.ideascale.com,Public Institution,A,action plan for fighting corruption,tunisia local government
103,VTA Ideas,http://vta.ideascale.com,Public Institution,A,improve santa clara public transportation service,Santa Clara Valley Transportation Authority
114,Trademark Policy Collaboration Site,http://uspto-tmep.ideascale.com,Public Institution,A,improve the trademark application process,united state patent and trademark office
132,HSL Matkustajainformaatio,http://hsl.ideascale.com,Public Institution,A,improve helsinki public transportation service,Helsinki Public Transportation Office
138,Prima Persona,http://inprimapersona.ideascale.com,Political Org,B,action plan for the association,Prima Persona Politic Association
140,CERTAIN,http://becertain.ideascale.com,Civic Organization,A,improve health-care service of washington state,consortium of health-care provider organizations
147,nuove idee per Serrenti,http://comuneserrenti.ideascale.com,Public Institution,A,improve serrenti public services,Comune di Serrenti
155,CambiAnzio,http://cambianzio.ideascale.com,Political Org,A,improve anzio public services,CambiAnzio
157,Questionario per trasparenza candidati Agcom e Privacy,http://questionariotrasparenza.ideascale.com,Political Org,B,discuss electoral proposals and action plans,Agcom
160,Jong VLD Ideas,http://liberaalidee.ideascale.com,Political Org,B,action plan for the association,Independent political youth organization
178,NSW Health Statistics,http://nswhs.ideascale.com,Public Institution,A,improve the web site of the public health-care service ,New South Wales Goverment
182,Change Jamaica,http://changejamaica.ideascale.com,Ad-hoc community,A,ideas for the future of Jamaica,
186,centosassi,http://centosassi.ideascale.com,Political Org,B,action plan for the association,Cento Sassi
193,Citizen Request,http://publicworksagency.ideascale.com,Civic Organization,A,collect requests from citizens about improvements on the public services,Public Works Agency
200,Lombardia #davvero - con Giulio Cavalli,http://lombardiadavvero.ideascale.com,Politician,A,proposals/action plans for Lombardi,Giulio Cavalli Italian Politician
208,Idee per Sennori 5 stelle,http://sennori5stelle.ideascale.com,Political Org,B,action plan for the org,Community of Senniors members of 5 stars movement
209,Politica Oltre,http://politicaoltre.ideascale.com,Political Org,B,action plan for the org,Politica Oltre
213,Innisfil Public Library Ideas,http://ipl.ideascale.com,Public Institution,A,improve the service of the public library,Innisfil Public Library
215,Murano People Ideas,http://muranopeople.ideascale.com,Civic Organization,B,improve the org internally,Community of Murano
221,Partito Democratico del Friuli Venezia Giulia,http://pdfvg.ideascale.com,Political Org,B,ideate a project to create a new political org,Partito Democratico del Friuli Venezia
