community_id,id,author_mod,replies,favorites,retweets,total,source
404,439775321853014016,0,0,0,0,0,Twitter Web Client
394,443354190203473920,1,0,0,1,1,Twitter for Websites
394,446304837781950464,1,0,0,1,1,Twitter Web Client
454,448909829357436928,0,0,0,0,0,Hootsuite
454,447723346021859329,0,0,0,0,0,Hootsuite
454,447143210570506240,0,0,0,0,0,Hootsuite
476,449219558042107905,1,3,0,0,3,Twitter Web Client
476,450786604630548481,1,4,0,0,4,Twitter Web Client
454,460147605956468736,0,0,0,0,0,Hootsuite
454,467027927335706624,1,0,0,1,1,Buffer
106,469907624679714816,0,0,0,0,0,LinkedIn
57,469862380282077184,0,0,0,1,1,Twitter Web Client
476,448242635107336192,1,20,5,3,28,Twitter Web Client
457,218468880534863873,0,0,0,0,0,Twitter for Websites
414,296269040991748097,0,0,0,0,0,Hootsuite
414,293744523673235456,0,0,0,0,0,Twitter for Websites
414,291177388040151041,0,0,0,0,0,Hootsuite
414,291175449327980544,1,0,0,1,1,Twitter for Websites
292,249465300221825024,0,0,0,0,0,Hootsuite
292,249464919924293632,0,0,0,0,0,Hootsuite
292,249440962588311552,0,0,0,0,0,Twitter for Websites
292,249424253034848256,0,0,0,5,5,Twitter Web Client
292,246313553462702080,0,0,1,1,2,Twitter for Websites
465,318664074747584512,1,0,0,0,0,Facebook
465,316129165868941312,1,0,0,0,0,Twitter for Android
465,312894344203993088,1,0,0,0,0,TweetDeck
465,312535636580134914,0,0,0,0,0,Twitter for Websites
465,311834620448616448,0,0,1,0,1,Facebook
465,311265412258082817,1,1,0,0,1,Twitter Web Client
465,311070725786173440,0,0,0,0,0,Twitter for Websites
465,311010587683463168,1,0,0,0,0,Facebook
465,310876357427081216,0,0,0,0,0,Twitter for Websites
465,308915007704399872,0,0,0,0,0,Twitter for Websites
287,298426621222866944,0,0,0,0,0,Twitter for Websites
287,199938141270982656,0,0,0,0,0,Twitter for Websites
246,320048910150291456,0,0,0,0,0,Twitter for Websites
246,310378141145264128,0,0,0,0,0,Twitter for Websites
248,58659754200924160,0,0,0,0,0,Twitter for Websites
248,40891590239064064,0,0,0,0,0,Twitter for Websites
248,40825321678704640,0,0,0,0,0,Sprout Social
248,40789640206090240,1,0,0,1,1,Twitter Web Client
248,40429391833997312,1,0,0,0,0,Twitter Web Client
221,94501822605176832,0,0,0,0,0,aePiotNews
221,94495644818997248,1,0,0,0,0,Twitter for Websites
208,43091879537025024,0,0,0,0,0,Twitter for Websites
200,290580615844225024,0,0,0,0,0,Twitter for Websites
200,266316619482013696,0,0,0,0,0,Twitter for Websites
200,266293992583491584,1,3,0,1,4,Twitter for Websites
200,266279150279606274,0,0,0,0,0,Twitter for Websites
200,265741986919772161,0,0,1,0,1,Twitter for Websites
200,264102612197076992,0,0,0,0,0,Twitter for Websites
200,263768483387547648,1,0,1,0,1,Twitter for Websites
200,263756085591166976,1,1,0,2,3,Twitter for Mac
200,263645301888385025,0,0,0,0,0,Twitter for Websites
200,263268737254318081,0,0,0,0,0,Twitter for Websites
186,130045107419361280,1,0,0,0,0,Twitter for Websites
186,127503699546357760,1,0,0,0,0,Twitter for Websites
182,168038714667315201,0,0,0,0,0,Twitter for Websites
182,165531717682204674,0,0,0,1,1,Twitter for Websites
182,90602666144702464,0,0,0,0,0,Twitter for Websites
182,90450512985591808,0,0,0,0,0,Twitter for Websites
182,68337172171862016,0,0,0,0,0,Twitter for Websites
182,67725841483825152,0,0,0,0,0,Twitter for Websites
182,55311097749708800,0,0,0,0,0,Twitter for Websites
182,54321163832266752,0,0,0,0,0,Twitter for Websites
182,54307694055669760,0,0,0,0,0,Twitter for Websites
182,53256678644260865,0,0,0,0,0,Twitter for Websites
157,208896295010701315,0,0,0,0,0,Twitter for Websites
157,208184533143650304,0,0,0,0,0,Twitter for Websites
157,207813954993520640,0,0,0,0,0,Twitter for Websites
157,207784705288962048,0,0,0,0,0,Twitter for Websites
157,207497584942649346,0,0,0,0,0,Twitter for Websites
367,291306167538421761,0,0,1,0,1,Twitter for Websites
147,328823464456773632,1,0,0,0,0,Twitter for Websites
147,325128950433054721,1,0,0,0,0,Facebook
147,324759157565714433,1,0,0,1,1,Facebook
122,314740264021409793,1,0,1,3,4,TweetDeck
122,308980273515732992,0,0,1,0,1,Hootsuite
122,308781264536731648,0,0,0,0,0,Twitter for Websites
122,301390917586280449,0,0,0,1,1,Tweetbot for Mac
122,299211497408708608,0,0,0,0,0,Twitter for Websites
122,298948573142347776,0,0,0,0,0,Foursquare
122,298948092227637248,0,0,0,0,0,Twitter for iPhone
122,295925457306660864,0,0,0,1,1,Twitter Web Client
122,295015727969218560,0,0,0,1,1,TweetDeck
122,294920125419761665,1,0,1,5,6,TweetDeck
122,294819089942200320,1,0,1,5,6,TweetDeck
122,294791923451965440,0,0,2,1,3,Twitter for iPad
122,294662252877991936,0,0,0,0,0,The Tweeted Times
122,294662251380604928,0,0,0,0,0,The Tweeted Times
122,294573004917186560,0,0,1,0,1,Twitter for Websites
122,294522220024315904,0,0,0,0,0,Echofon
122,294499257250095104,0,0,0,1,1,Hootsuite
122,294499128921165824,0,0,0,0,0,TweetDeck
122,294494602545733632,0,0,0,0,0,Hootsuite
122,294493027081256960,0,0,0,0,0,Hootsuite
122,294492287214440448,0,2,10,28,40,Twitter for Websites
114,255782712349192192,0,0,0,2,2,Twitter Web Client
138,149518127305199616,0,0,0,0,0,Twitter for Websites
138,148867669003735041,0,0,0,1,1,Twitter Web Client
138,148751599714574336,0,0,1,0,1,Twitter for Websites
138,148751087090925568,0,0,0,0,0,Twitter for Websites
138,148750581647945729,1,0,0,0,0,Twitter for Websites
101,276085402069258240,1,0,0,1,1,Twitter for Mac
101,271917750954381312,0,0,0,0,0,Twitter for Websites
74,148102675530129408,0,0,0,0,0,Twitter for Websites
74,138183933266362368,0,0,0,0,0,Twitter for Websites
60,323784515455688705,0,0,0,0,0,Twitter for Websites
60,322381623960154112,0,0,0,0,0,Twitter for Websites
60,321612237645172737,0,0,0,0,0,Twitter for Websites
60,320549774111674368,0,1,1,1,3,Twitter for Android
60,317905153388838913,0,0,1,1,2,Twitter for iPad
60,316095698061901824,1,0,0,1,1,Twitter Web Client
60,315491412588244992,0,0,0,1,1,Twitter for Android
60,314643760929705984,0,0,0,0,0,Twitter for Websites
