id,replies,favorites,retweets,total,source
439934869477404672,0,0,1,1,Twitter for Android
439931416244400129,0,1,1,2,Twitter Web Client
439930488330125313,0,0,0,0,Tweetbot for iOS
439929631496339456,0,0,0,0,Twitter for Websites
440574641837334528,0,1,0,1,Twitter for iPhone
439287261868609536,0,0,1,1,RoundTeam
439284456373772288,0,0,1,1,Twitter for iPhone
439269055996784640,0,0,0,0,Twitter for iPhone
439159163026161665,0,0,0,0,Twitter Web Client
439047128992583680,0,0,0,0,Facebook
438793084692742144,0,0,0,0,Twitter Web Client
437992687523102720,0,0,2,2,Plume for Android
462330992984727552,0,0,0,0,Twitter for Websites
440675041013792769,0,3,0,3,Twitter for Android
440502591680565248,0,0,1,1,Twitter for Android
440499333574565890,0,0,1,1,Twitter for Android
450540911458406402,0,0,0,0,Twitter for Websites
446794177977012224,0,0,0,0,Twitter for Android
446599317986344960,0,0,0,0,Twitter for Websites
443492660993867777,0,0,1,1,Twitter for Android
443129942482485248,0,0,1,1,Twitter for Websites
442964150382120960,0,0,0,0,Twitter for Websites
450945918120906752,0,0,2,2,Twitter Web Client
458246519183794178,0,0,4,4,Twitter Web Client
458220814798553088,0,0,4,4,TweetAdder v4
458216416026427392,0,0,4,4,Twitter for iPhone
447849795294478336,0,1,1,2,Twitter for Websites
454865084833988609,0,0,3,3,TweetAdder v4
454747306005254144,0,0,3,3,Twitter for Android
454746350303707136,0,0,3,3,Twitter for iPhone
453491382401785856,1,0,1,2,TweetAdder v4
453479513372905472,1,0,0,1,Twitter for iPhone
453476095393034241,1,0,1,2,Buffer
446623305382899712,1,0,0,1,Twitter for iPhone
446601090805428224,1,0,1,2,TweetAdder v4
446579461073682432,1,0,1,2,Buffer
448965390673014784,0,0,0,0,Twitter for Websites
463662298456788993,0,0,1,1,TweetAdder v4
463634576842448896,0,0,1,1,Buffer
465845847998353408,0,0,1,1,Buffer
469048951682129920,0,0,2,2,Twitter Web Client
468344348774785024,0,0,2,2,Buffer
447857245435342848,0,1,1,2,Twitter for Websites
450359703487279105,0,0,0,0,Twitter for Websites
448530179326226433,0,0,0,0,Twitter Web Client
448528242837057536,1,1,0,2,Twitter Web Client
453642891034775553,1,0,0,1,Twitter Web Client
455671136269770752,0,0,2,2,TweetAdder v4
466979679119761408,0,0,0,0,Twitter for Websites
467460525899542528,0,0,1,1,Twitter for iPhone
467385047972986880,2,1,1,4,Twitter Web Client
467330960745193472,0,0,1,1,Twitter for iPhone
467314569367404544,2,2,1,5,Twitter Web Client
470041664145223680,0,0,1,1,Twitter Web Client
470014160374206464,0,0,1,1,Twitter Web Client
468890740337430528,0,0,1,1,Twitter for iPhone
468847683508391937,0,1,1,2,Twitter Web Client
468846621355020288,0,0,0,0,Twitter for Websites
469868727690080257,0,0,1,1,Twitter Web Client
469862380282077184,0,0,1,1,Twitter Web Client
469907624679714816,0,0,0,0,LinkedIn
443354190203473920,0,0,1,1,Twitter for Websites
442921909215580160,0,0,6,6,Twitter for Windows Phone
446304837781950464,0,0,1,1,Twitter Web Client
446794202828267520,0,0,1,1,Twitter for Android
459722908865413120,1,0,4,5,Twitter Web Client
439775321853014016,0,0,0,0,Twitter Web Client
448909829357436928,0,0,0,0,Hootsuite
447723346021859329,0,0,0,0,Hootsuite
447143210570506240,0,0,0,0,Hootsuite
460147605956468736,0,0,0,0,Hootsuite
467044889016799233,0,0,1,1,TweetAdder v4
467027927335706624,0,0,1,1,Buffer
449219558042107905,0,0,0,0,Twitter Web Client
450786604630548481,0,0,0,0,Twitter Web Client
448242635107336192,1,5,3,9,Twitter Web Client
