id,replies,favorites,retweets,total,source
439775321853014016,0,0,0,0,Twitter Web Client
443354190203473920,0,0,1,1,Twitter for Websites
446304837781950464,0,0,1,1,Twitter Web Client
448909829357436928,0,0,0,0,Hootsuite
447723346021859329,0,0,0,0,Hootsuite
447143210570506240,0,0,0,0,Hootsuite
449219558042107905,3,0,0,3,Twitter Web Client
450786604630548481,4,0,0,4,Twitter Web Client
460147605956468736,0,0,0,0,Hootsuite
467027927335706624,0,0,1,1,Buffer
469907624679714816,0,0,0,0,LinkedIn
469862380282077184,0,0,1,1,Twitter Web Client
448242635107336192,20,5,3,28,Twitter Web Client
218468880534863873,0,0,0,0,Twitter for Websites
296269040991748097,0,0,0,0,Hootsuite
293744523673235456,0,0,0,0,Twitter for Websites
291177388040151041,0,0,0,0,Hootsuite
291175449327980544,0,0,1,1,Twitter for Websites
275874917583564800,0,0,1,1,Twitter for Websites
258823869186592768,0,0,1,1,Twitter for Websites
249152463452643328,1,0,0,1,Twitter Web Client
249059838590611457,0,0,0,0,Twitter for Websites
247956292264681472,0,0,0,0,Twitter for Websites
246225894841131009,0,0,0,0,Twitter for Websites
245049199593398272,0,0,0,0,Twitter for Websites
241448832427229184,0,0,0,0,Twitter for Websites
249465300221825024,0,0,0,0,Hootsuite
249464919924293632,0,0,0,0,Hootsuite
249440962588311552,0,0,0,0,Twitter for Websites
249424253034848256,0,0,5,5,Twitter Web Client
246313553462702080,0,1,1,2,Twitter for Websites
318664074747584512,0,0,0,0,Facebook
316129165868941312,0,0,0,0,Twitter for Android
312894344203993088,0,0,0,0,TweetDeck
312535636580134914,0,0,0,0,Twitter for Websites
311834620448616448,0,1,0,1,Facebook
311265412258082817,1,0,0,1,Twitter Web Client
311070725786173440,0,0,0,0,Twitter for Websites
311010587683463168,0,0,0,0,Facebook
310876357427081216,0,0,0,0,Twitter for Websites
308915007704399872,0,0,0,0,Twitter for Websites
298426621222866944,0,0,0,0,Twitter for Websites
199938141270982656,0,0,0,0,Twitter for Websites
320048910150291456,0,0,0,0,Twitter for Websites
310378141145264128,0,0,0,0,Twitter for Websites
58659754200924160,0,0,0,0,Twitter for Websites
40891590239064064,0,0,0,0,Twitter for Websites
40825321678704640,0,0,0,0,Sprout Social
40789640206090240,0,0,1,1,Twitter Web Client
40429391833997312,0,0,0,0,Twitter Web Client
94501822605176832,0,0,0,0,aePiotNews
94495644818997248,0,0,0,0,Twitter for Websites
43091879537025024,0,0,0,0,Twitter for Websites
290580615844225024,0,0,0,0,Twitter for Websites
266316619482013696,0,0,0,0,Twitter for Websites
266293992583491584,3,0,1,4,Twitter for Websites
266279150279606274,0,0,0,0,Twitter for Websites
265741986919772161,0,1,0,1,Twitter for Websites
264102612197076992,0,0,0,0,Twitter for Websites
263768483387547648,0,1,0,1,Twitter for Websites
263756085591166976,1,0,2,3,Twitter for Mac
263645301888385025,0,0,0,0,Twitter for Websites
263268737254318081,0,0,0,0,Twitter for Websites
39436778888765440,0,0,0,0,Twitter for Websites
21592082257,0,0,0,0,Twitter Web Client
130045107419361280,0,0,0,0,Twitter for Websites
127503699546357760,0,0,0,0,Twitter for Websites
168038714667315201,0,0,0,0,Twitter for Websites
165531717682204674,0,0,1,1,Twitter for Websites
90602666144702464,0,0,0,0,Twitter for Websites
90450512985591808,0,0,0,0,Twitter for Websites
68337172171862016,0,0,0,0,Twitter for Websites
67725841483825152,0,0,0,0,Twitter for Websites
55311097749708800,0,0,0,0,Twitter for Websites
54321163832266752,0,0,0,0,Twitter for Websites
54307694055669760,0,0,0,0,Twitter for Websites
53256678644260865,0,0,0,0,Twitter for Websites
208896295010701315,0,0,0,0,Twitter for Websites
208184533143650304,0,0,0,0,Twitter for Websites
207813954993520640,0,0,0,0,Twitter for Websites
207784705288962048,0,0,0,0,Twitter for Websites
207497584942649346,0,0,0,0,Twitter for Websites
291306167538421761,0,1,0,1,Twitter for Websites
328823464456773632,0,0,0,0,Twitter for Websites
325128950433054721,0,0,0,0,Facebook
324759157565714433,0,0,1,1,Facebook
314740264021409793,0,1,3,4,TweetDeck
308980273515732992,0,1,0,1,Hootsuite
308781264536731648,0,0,0,0,Twitter for Websites
301390917586280449,0,0,1,1,Tweetbot for Mac
299211497408708608,0,0,0,0,Twitter for Websites
298948573142347776,0,0,0,0,Foursquare
298948092227637248,0,0,0,0,Twitter for iPhone
295925457306660864,0,0,1,1,Twitter Web Client
295015727969218560,0,0,1,1,TweetDeck
294920125419761665,0,1,5,6,TweetDeck
294819089942200320,0,1,5,6,TweetDeck
294791923451965440,0,2,1,3,Twitter for iPad
294662252877991936,0,0,0,0,The Tweeted Times
294662251380604928,0,0,0,0,The Tweeted Times
294573004917186560,0,1,0,1,Twitter for Websites
294522220024315904,0,0,0,0,Echofon
294499257250095104,0,0,1,1,Hootsuite
294499128921165824,0,0,0,0,TweetDeck
294494602545733632,0,0,0,0,Hootsuite
294493027081256960,0,0,0,0,Hootsuite
294492287214440448,2,10,28,40,Twitter for Websites
255782712349192192,0,0,2,2,Twitter Web Client
149518127305199616,0,0,0,0,Twitter for Websites
148867669003735041,0,0,1,1,Twitter Web Client
148751599714574336,0,1,0,1,Twitter for Websites
148751087090925568,0,0,0,0,Twitter for Websites
148750581647945729,0,0,0,0,Twitter for Websites
276085402069258240,0,0,1,1,Twitter for Mac
271917750954381312,0,0,0,0,Twitter for Websites
148102675530129408,0,0,0,0,Twitter for Websites
138183933266362368,0,0,0,0,Twitter for Websites
323784515455688705,0,0,0,0,Twitter for Websites
322381623960154112,0,0,0,0,Twitter for Websites
321612237645172737,0,0,0,0,Twitter for Websites
320549774111674368,1,1,1,3,Twitter for Android
317905153388838913,0,1,1,2,Twitter for iPad
316095698061901824,0,0,1,1,Twitter Web Client
315491412588244992,0,0,1,1,Twitter for Android
314643760929705984,0,0,0,0,Twitter for Websites
314111915175600128,1,1,3,5,Twitter Web Client
312670478210854912,2,1,1,4,Twitter Web Client
311895503577165826,4,0,3,7,Twitter for Websites
310295382418681856,0,0,0,0,Twitter for Websites
309297277464371200,0,0,0,0,Twitter for Websites
307880110416068611,0,0,3,3,Twitter Web Client
307427305146417152,0,0,0,0,Twitter Web Client
306354900881784832,0,1,3,4,Mobile Web (M5)
306020015684067330,0,0,1,1,Twitter for Websites
304977882126614529,0,0,2,2,Twitter for Websites
167347707864813569,0,0,0,0,Twitter for Websites
250878996080914432,0,0,0,0,Twitter for Websites
245630757815590912,0,0,0,0,Twitter for Websites
211829243494141954,0,0,0,0,Twitter for Websites
197684945530011648,0,0,0,0,Twitter for Websites
193840744665071616,0,0,0,0,Twitter for Websites
315078736997412865,0,0,0,0,Twitter Web Client
303848059484372992,0,0,0,0,Twitter for Websites
299271155230076928,0,0,0,0,Twitter for Websites
299214723436658689,0,0,0,0,Twitter Web Client
297075539791982592,0,0,0,0,Facebook
274983317353406464,0,0,0,0,Twitter for Websites
258632285715324929,0,0,1,1,Echofon
271804696564486145,1,0,0,1,Twitter Web Client
202928668320870400,0,0,1,1,Radian6 
160028756197638145,0,0,2,2,Twitter Web Client
160026369382817793,0,2,12,14,Radian6 
139874236557836290,0,0,0,0,Twitter for Websites
139872849337909248,0,0,0,0,Hootsuite
139718480948772864,0,0,0,0,Hootsuite
